,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,821,501,-1,
1,2,1,1,0,0,0,191,7,603,46,-1,
2,3,1,1,1,0,0,191,7,603,46,-1,
3,4,1,1,1,1,0,191,7,603,26,-1,
4,5,1,1,1,1,1,191,16,74,17,96,Designed
5,5,1,1,1,1,2,271,17,16,12,95,to
6,5,1,1,1,1,3,292,16,70,13,96,Enhance
7,5,1,1,1,1,4,367,16,25,13,97,the
8,5,1,1,1,1,5,398,16,42,17,96,Entry
9,5,1,1,1,1,6,445,20,10,9,94,of
10,5,1,1,1,1,7,461,3,44,34,96,your
11,5,1,1,1,1,8,517,20,34,9,96,home
12,5,1,1,1,1,9,556,17,24,12,96,with
13,5,1,1,1,1,10,607,7,50,22,96,Custom
14,5,1,1,1,1,11,657,7,106,22,65,Ornamental
15,4,1,1,1,2,0,191,36,500,17,-1,
16,5,1,1,1,2,1,191,36,85,13,71,Decorative
17,5,1,1,1,2,2,282,36,73,32,95,Driveway
18,5,1,1,1,2,3,361,36,46,13,96,Gates
19,5,1,1,1,2,4,412,36,32,23,63,while
20,5,1,1,1,2,5,460,36,66,16,63,bringing
21,5,1,1,1,2,6,532,36,52,16,86,"Safety,"
22,5,1,1,1,2,7,590,36,67,16,73,Security
23,5,1,1,1,2,8,662,36,29,13,90,and
24,2,1,2,0,0,0,8,2,786,274,-1,
25,3,1,2,1,0,0,8,2,786,274,-1,
26,4,1,2,1,1,0,8,2,786,274,-1,
27,5,1,2,1,1,1,8,2,786,274,95,   
28,2,1,3,0,0,0,299,266,125,7,-1,
29,3,1,3,1,0,0,299,266,125,7,-1,
30,4,1,3,1,1,0,299,266,125,7,-1,
31,5,1,3,1,1,1,292,254,35,28,10,Farag
32,5,1,3,1,1,2,337,254,21,28,13,pier
33,5,1,3,1,1,3,362,254,27,28,47,senda
34,5,1,3,1,1,4,397,266,27,6,56,mao
35,2,1,4,0,0,0,6,262,788,239,-1,
36,3,1,4,1,0,0,6,262,788,239,-1,
37,4,1,4,1,1,0,424,263,370,13,-1,
38,5,1,4,1,1,1,424,263,370,13,95, 
39,4,1,4,1,2,0,6,262,103,239,-1,
40,5,1,4,1,2,1,6,262,103,239,95,   
41,2,1,5,0,0,0,109,268,684,87,-1,
42,3,1,5,1,0,0,109,268,684,87,-1,
43,4,1,5,1,1,0,109,268,171,12,-1,
44,5,1,5,1,1,1,109,268,22,12,96,Top
45,5,1,5,1,1,2,135,268,43,10,96,Brands
46,5,1,5,1,1,3,182,268,12,10,96,of
47,5,1,5,1,1,4,198,268,27,10,96,Gate
48,5,1,5,1,1,5,229,268,51,12,96,Openers
49,4,1,5,1,2,0,109,283,253,16,-1,
50,5,1,5,1,2,1,109,283,22,9,87,and
51,5,1,5,1,2,2,135,283,63,12,95,"Operators,"
52,5,1,5,1,2,3,203,283,75,11,37,"Commercial,"
53,5,1,5,1,2,4,299,284,49,15,5,yowlsia
54,5,1,5,1,2,5,351,284,11,15,5,a
55,4,1,5,1,3,0,109,294,246,15,-1,
56,5,1,5,1,3,1,109,297,70,12,96,"Residential,"
57,5,1,5,1,3,2,184,297,59,11,93,"Industrial,"
58,5,1,5,1,3,3,248,297,40,12,87,"Swing,"
59,5,1,5,1,3,4,311,294,44,5,0,"“™""'™S"""
60,4,1,5,1,4,0,109,311,684,17,-1,
61,5,1,5,1,4,1,109,312,33,11,0,‘Stic
62,5,1,5,1,4,2,147,312,29,9,26,Rack
63,5,1,5,1,4,3,180,312,9,9,64,&
64,5,1,5,1,4,4,193,312,41,11,0,"Pirvon,"
65,5,1,5,1,4,5,239,312,41,9,0,Barrer)
66,5,1,5,1,4,6,299,321,31,5,24,SE
67,5,1,5,1,4,7,330,311,135,17,22,aa
68,5,1,5,1,4,8,486,311,307,17,35,eee
69,4,1,5,1,5,0,299,330,487,7,-1,
70,5,1,5,1,5,1,299,316,33,29,0,outotr
71,5,1,5,1,5,2,333,316,27,29,27,comet
72,5,1,5,1,5,3,360,316,27,29,25,chon
73,5,1,5,1,5,4,389,316,10,29,53,Ws
74,5,1,5,1,5,5,398,316,20,29,54,oe
75,5,1,5,1,5,6,418,316,6,29,53,a
76,5,1,5,1,5,7,430,330,24,7,55,peo
77,5,1,5,1,5,8,456,316,16,29,63,as
78,5,1,5,1,5,9,474,316,33,29,44,Ops
79,5,1,5,1,5,10,512,316,13,29,54,as
80,5,1,5,1,5,11,524,316,35,29,33,Opry
81,5,1,5,1,5,12,562,316,21,29,45,Sang
82,5,1,5,1,5,13,588,330,12,5,67,Gn
83,5,1,5,1,5,14,604,316,30,29,51,Opener
84,5,1,5,1,5,15,640,316,18,29,58,Gate
85,5,1,5,1,5,16,660,316,32,29,59,"puso,"
86,5,1,5,1,5,17,694,330,16,5,54,sg
87,5,1,5,1,5,18,717,330,16,5,55,Gas
88,5,1,5,1,5,19,734,316,30,29,22,Opes
89,5,1,5,1,5,20,768,316,21,29,22,ah
90,4,1,5,1,6,0,299,339,467,16,-1,
91,5,1,5,1,6,1,299,325,67,34,30,Sper
92,5,1,5,1,6,2,368,325,70,34,33,noes
93,5,1,5,1,6,3,474,339,10,5,4,Sate
94,5,1,5,1,6,4,487,325,32,34,0,anobar
95,5,1,5,1,6,5,522,339,127,6,8,sense
96,5,1,5,1,6,6,652,339,22,6,50,Sat
97,5,1,5,1,6,7,677,339,36,6,31,ose
98,2,1,6,0,0,0,379,284,379,16,-1,
99,3,1,6,1,0,0,379,284,379,16,-1,
100,4,1,6,1,1,0,392,284,366,7,-1,
101,5,1,6,1,1,1,392,272,15,28,44,tn
102,5,1,6,1,1,2,409,272,14,28,71,our
103,5,1,6,1,1,3,422,284,58,7,65,Driveway
104,5,1,6,1,1,4,460,272,19,28,30,Gates
105,5,1,6,1,1,5,488,272,19,28,44,arden
106,5,1,6,1,1,6,509,284,19,7,62,Gt
107,5,1,6,1,1,7,535,272,5,28,49,or
108,5,1,6,1,1,8,551,284,21,6,53,kT
109,5,1,6,1,1,9,579,284,12,6,45,Gt
110,5,1,6,1,1,10,605,285,10,5,52,we
111,5,1,6,1,1,11,618,272,15,28,19,fer
112,5,1,6,1,1,12,639,284,20,6,68,oi
113,5,1,6,1,1,13,658,272,31,28,64,Baking
114,5,1,6,1,1,14,691,272,15,28,70,win
115,5,1,6,1,1,15,707,272,41,28,44,youre
116,5,1,6,1,1,16,749,272,8,28,57,ot
117,4,1,6,1,2,0,379,293,342,7,-1,
118,5,1,6,1,2,1,375,281,14,28,62,ipa
119,5,1,6,1,2,2,395,295,7,4,24,or
120,5,1,6,1,2,3,403,293,24,7,24,Pace
121,5,1,6,1,2,4,433,293,22,6,49,hao
122,5,1,6,1,2,5,466,281,25,28,15,cing
123,5,1,6,1,2,6,491,281,13,28,53,ae
124,5,1,6,1,2,7,503,281,36,28,27,oeredin
125,5,1,6,1,2,8,543,281,14,28,60,any
126,5,1,6,1,2,9,559,281,19,28,39,ater
127,5,1,6,1,2,10,592,293,31,6,37,cla
128,5,1,6,1,2,11,626,281,25,28,22,choore
129,5,1,6,1,2,12,650,281,19,28,48,Wom
130,5,1,6,1,2,13,669,281,28,28,55,Py
131,5,1,6,1,2,14,701,281,20,28,44,ate
132,2,1,7,0,0,0,365,284,25,7,-1,
133,3,1,7,1,0,0,365,284,25,7,-1,
134,4,1,7,1,1,0,365,284,25,7,-1,
135,5,1,7,1,1,1,365,284,25,7,95, 
136,2,1,8,0,0,0,361,293,18,6,-1,
137,3,1,8,1,0,0,361,293,18,6,-1,
138,4,1,8,1,1,0,361,293,18,6,-1,
139,5,1,8,1,1,1,361,293,18,6,95, 
140,2,1,9,0,0,0,713,339,19,5,-1,
141,3,1,9,1,0,0,713,339,19,5,-1,
142,4,1,9,1,1,0,713,339,19,5,-1,
143,5,1,9,1,1,1,713,339,19,5,95, 
144,2,1,10,0,0,0,299,366,490,14,-1,
145,3,1,10,1,0,0,299,366,490,14,-1,
146,4,1,10,1,1,0,299,366,490,14,-1,
147,5,1,10,1,1,1,299,366,123,14,0,‘eins:
148,5,1,10,1,1,2,357,353,26,31,38,mama
149,5,1,10,1,1,3,393,353,16,31,56,Rack
150,5,1,10,1,1,4,413,353,17,31,62,ap
151,5,1,10,1,1,5,429,353,36,31,48,tro
152,5,1,10,1,1,6,465,353,24,31,59,guy
153,5,1,10,1,1,7,488,353,32,31,60,Bony
154,5,1,10,1,1,8,519,353,32,31,50,aig
155,5,1,10,1,1,9,555,366,18,5,50,Ft
156,5,1,10,1,1,10,574,353,21,31,52,Poth
157,5,1,10,1,1,11,597,353,31,31,52,"Rating,"
158,5,1,10,1,1,12,628,353,19,31,29,Dah
159,5,1,10,1,1,13,650,366,27,7,59,aig
160,5,1,10,1,1,14,680,366,26,5,47,ml
161,5,1,10,1,1,15,721,366,27,6,28,nian
162,5,1,10,1,1,16,757,366,32,7,0,Wout
163,2,1,11,0,0,0,386,375,396,15,-1,
164,3,1,11,1,0,0,386,375,396,15,-1,
165,4,1,11,1,1,0,386,375,396,15,-1,
166,5,1,11,1,1,1,386,375,396,15,95,    
167,2,1,12,0,0,0,299,402,486,24,-1,
168,3,1,12,1,0,0,299,402,486,24,-1,
169,4,1,12,1,1,0,299,402,483,7,-1,
170,5,1,12,1,1,1,281,390,42,28,52,‘nan
171,5,1,12,1,1,2,330,390,14,28,61,ates
172,5,1,12,1,1,3,355,402,20,7,53,a
173,5,1,12,1,1,4,376,390,45,28,19,Catacomb
174,5,1,12,1,1,5,423,402,117,7,0,dengan
175,5,1,12,1,1,6,488,390,13,28,36,ay
176,5,1,12,1,1,7,500,390,31,28,36,etn
177,5,1,12,1,1,8,543,402,26,6,14,ordre
178,5,1,12,1,1,9,572,402,30,7,0,svony
179,5,1,12,1,1,10,605,403,14,6,26,"gts,"
180,5,1,12,1,1,11,626,402,51,6,6,Cusomer
181,5,1,12,1,1,12,663,390,8,28,72,ca
182,5,1,12,1,1,13,680,390,19,28,41,hoot
183,5,1,12,1,1,14,707,390,22,28,52,bane
184,5,1,12,1,1,15,738,402,44,6,6,rohan
185,4,1,12,1,2,0,299,411,486,15,-1,
186,5,1,12,1,2,1,299,411,53,15,39,rn
187,5,1,12,1,2,2,355,411,37,15,0,mart
188,5,1,12,1,2,3,447,411,29,6,55,man
189,5,1,12,1,2,4,479,411,30,6,54,cn
190,5,1,12,1,2,5,512,411,34,7,64,pon
191,5,1,12,1,2,6,549,411,22,6,52,ct
192,5,1,12,1,2,7,574,411,21,6,42,an
193,5,1,12,1,2,8,602,411,34,6,52,Seo
194,5,1,12,1,2,9,638,411,16,6,54,Wk
195,5,1,12,1,2,10,657,411,18,6,52,Gt
196,5,1,12,1,2,11,690,411,48,6,32,cana
197,5,1,12,1,2,12,741,411,44,7,49,ne
198,2,1,13,0,0,0,299,438,489,25,-1,
199,3,1,13,1,0,0,299,438,489,25,-1,
200,4,1,13,1,1,0,299,438,489,7,-1,
201,5,1,13,1,1,1,295,426,19,28,50,Poa
202,5,1,13,1,1,2,316,426,19,28,1,Eng
203,5,1,13,1,1,3,348,438,11,6,68,te
204,5,1,13,1,1,4,357,426,34,28,20,Alanna
205,5,1,13,1,1,5,400,426,17,28,71,Pool
206,5,1,13,1,1,6,418,438,20,6,54,Fence
207,5,1,13,1,1,7,437,426,26,28,47,Syn
208,5,1,13,1,1,8,466,426,32,28,24,Amnon
209,5,1,13,1,1,9,502,426,17,28,64,Pet
210,5,1,13,1,1,10,521,426,15,28,75,Gat
211,5,1,13,1,1,11,537,426,45,28,41,Sethe
212,5,1,13,1,1,12,584,426,38,28,21,Asminum
213,5,1,13,1,1,13,624,426,17,28,72,Poot
214,5,1,13,1,1,14,642,426,17,28,67,eck
215,5,1,13,1,1,15,662,438,23,7,56,ating
216,5,1,13,1,1,16,684,426,24,28,33,Syne
217,5,1,13,1,1,17,708,426,14,28,53,hat
218,5,1,13,1,1,18,733,426,15,28,50,er
219,5,1,13,1,1,19,743,438,45,7,30,oyu
220,4,1,13,1,2,0,299,447,467,7,-1,
221,5,1,13,1,2,1,292,435,24,28,0,bree
222,5,1,13,1,2,2,332,447,5,6,0,e
223,5,1,13,1,2,3,339,435,17,28,24,ofer
224,5,1,13,1,2,4,357,447,79,7,0,ecorae
225,5,1,13,1,2,5,395,435,17,28,70,pol
226,5,1,13,1,2,6,416,435,22,28,54,ncn
227,5,1,13,1,2,7,439,435,48,28,15,stingers
228,5,1,13,1,2,8,498,435,19,28,52,once
229,5,1,13,1,2,9,521,435,9,28,57,or
230,5,1,13,1,2,10,532,435,8,28,61,any
231,5,1,13,1,2,11,546,435,26,28,61,anon
232,5,1,13,1,2,12,575,435,18,28,49,Mae
233,5,1,13,1,2,13,596,435,14,28,50,ol
234,5,1,13,1,2,14,610,435,21,28,59,gts
235,5,1,13,1,2,15,635,435,8,28,56,or
236,5,1,13,1,2,16,642,435,20,28,48,Yur
237,5,1,13,1,2,17,663,435,22,28,19,ope
238,5,1,13,1,2,18,696,435,12,28,56,at
239,5,1,13,1,2,19,708,435,12,28,59,oe
240,5,1,13,1,2,20,733,447,27,6,46,eer
241,4,1,13,1,3,0,299,456,236,7,-1,
242,5,1,13,1,3,1,299,456,128,7,0,‘oremansoconmerc
243,5,1,13,1,3,2,397,444,24,28,51,once
244,5,1,13,1,3,3,430,458,3,4,49,are
245,5,1,13,1,3,4,451,444,31,28,30,orn
246,5,1,13,1,3,5,498,444,40,28,49,"rere,"
247,2,1,14,0,0,0,743,448,15,5,-1,
248,3,1,14,1,0,0,743,448,15,5,-1,
249,4,1,14,1,1,0,743,448,15,5,-1,
250,5,1,14,1,1,1,743,448,15,5,95, 
251,2,1,15,0,0,0,433,458,19,4,-1,
252,3,1,15,1,0,0,433,458,19,4,-1,
253,4,1,15,1,1,0,433,458,19,4,-1,
254,5,1,15,1,1,1,433,458,19,4,95, 
255,2,1,16,0,0,0,345,476,3,4,-1,
256,3,1,16,1,0,0,345,476,3,4,-1,
257,4,1,16,1,1,0,345,476,3,4,-1,
258,5,1,16,1,1,1,345,476,3,4,95, 
259,2,1,17,0,0,0,349,474,430,17,-1,
260,3,1,17,1,0,0,349,474,430,17,-1,
261,4,1,17,1,1,0,349,474,430,8,-1,
262,5,1,17,1,1,1,342,462,17,28,33,rae
263,5,1,17,1,1,2,359,462,33,28,32,secon
264,5,1,17,1,1,3,394,462,5,28,42,of
265,5,1,17,1,1,4,405,462,29,28,0,rout
266,5,1,17,1,1,5,436,462,12,28,72,ron
267,5,1,17,1,1,6,450,462,5,28,72,an
268,5,1,17,1,1,7,466,462,19,28,10,luni
269,5,1,17,1,1,8,501,462,33,28,51,ry
270,5,1,17,1,1,9,538,462,20,28,59,ats
271,5,1,17,1,1,10,559,462,15,28,65,but
272,5,1,17,1,1,11,575,462,15,28,54,sto
273,5,1,17,1,1,12,589,462,29,28,34,bowae
274,5,1,17,1,1,13,629,475,8,5,36,ou
275,5,1,17,1,1,14,648,475,12,7,75,ou
276,5,1,17,1,1,15,662,462,17,28,40,wie
277,5,1,17,1,1,16,678,462,34,28,10,stn
278,5,1,17,1,1,17,713,462,8,28,56,of
279,5,1,17,1,1,18,727,462,13,28,64,ate
280,5,1,17,1,1,19,739,462,43,28,41,Operates
281,4,1,17,1,2,0,458,483,168,8,-1,
282,5,1,17,1,2,1,444,471,34,28,35,"""ther"
283,5,1,17,1,2,2,480,471,33,28,54,Sango
284,5,1,17,1,2,3,514,471,20,28,54,Sung
285,5,1,17,1,2,4,538,471,17,28,56,Gate
286,5,1,17,1,2,5,557,471,16,28,52,Spon
287,5,1,17,1,2,6,571,483,55,8,54,Opes
288,2,1,18,0,0,0,119,348,170,149,-1,
289,3,1,18,1,0,0,119,348,170,149,-1,
290,4,1,18,1,1,0,119,348,170,149,-1,
291,5,1,18,1,1,1,119,348,170,149,95, 
